"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_Radial_D8.0mm_P5.00mm";1;"270µF";;;
2;"C2, C4, C7, C8, C9, C10, C11, C12";"C_Disc_D5.0mm_W2.5mm_P5.00mm";8;"100nF";;;
3;"C3, C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"5.6nF";;;
4;"C6";"CP_Radial_D8.0mm_P5.00mm";1;"470µF";;;
5;"D1";"LED_D5.0mm";1;"LPWR";;;
6;"D2";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5822";;;
7;"D3";"D_DO-15_P10.16mm_Horizontal";1;"BZW04 18V";;;
8;"D4";"LED_D5.0mm";1;"LPTT";;;
9;"D5";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
10;"IC1";"SOIC127P600X175-16N";1;"MAX3232CDR";;;
11;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Top_Bottom";;;
12;"J4";"dfr0570";1;"DFR0570";;;
13;"J5, J6";"PinSocket_1x13_P2.54mm_Vertical";2;"Conn_01x13_Socket";;;
14;"J7";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Pin";;;
15;"PWR";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Socket";;;
16;"Q1, Q2";"TO-92_Inline_Wide";2;"BC547";;;
17;"R1, R3, R4, R5, R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"1k";;;
18;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1ohm";;;
19;"R6, R7, R8, R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
20;"SW1";"SW_PUSH_6mm";1;"RST";;;
21;"TO TRCV";"JST_EH_B10B-EH-A_1x10_P2.50mm_Vertical";1;"JST";;;
